season,player,previous_club,transfer_fee_eur,transfer_type
2021-22,Bryan Gil,Sevilla FC,25000000,permanent
2021-22,Emerson Royal,FC Barcelona,25000000,permanent
2021-22,Rodrigo Bentancur,Juventus,19000000,permanent
2021-22,Pape Matar Sarr,FC Metz,16900000,permanent
2021-22,Dejan Kulusevski,Juventus,10000000,loan_fee
2021-22,Pierluigi Gollini,Atalanta,0,loan
2021-22,Cristian Romero,Atalanta,0,loan
2022-23,Richarlison,Everton,58000000,permanent
2022-23,Cristian Romero,Atalanta,53800000,permanent
2022-23,Yves Bissouma,Brighton & Hove Albion,29200000,permanent
2022-23,Destiny Udogie,Udinese,18000000,permanent
2022-23,Djed Spence,Middlesbrough,14700000,permanent
2022-23,Pedro Porro,Sporting CP,5000000,loan_fee
2022-23,Arnaut Danjuma,Villarreal,3000000,loan_fee
2022-23,Ivan Perišić,Inter,0,free_transfer
2022-23,Fraser Forster,Southampton,0,free_transfer
2022-23,Clément Lenglet,FC Barcelona,0,loan
2023-24,Brennan Johnson,Nottingham Forest,55000000,permanent
2023-24,James Maddison,Leicester City,46300000,permanent
2023-24,Micky van de Ven,VfL Wolfsburg,40000000,permanent
2023-24,Pedro Porro,Sporting CP,40000000,permanent
2023-24,Dejan Kulusevski,Juventus,30000000,permanent
2023-24,Radu Drăgușin,Genoa,28000000,permanent
2023-24,Guglielmo Vicario,Empoli,18500000,permanent
2023-24,Alejo Veliz,Rosario Central,15000000,permanent
2023-24,Ashley Phillips,Blackburn Rovers,2300000,permanent
2023-24,Manor Solomon,Shakhtar Donetsk,0,free_transfer
2023-24,Timo Werner,RB Leipzig,0,loan
2024-25,Dominic Solanke,Bournemouth,64300000,permanent
2024-25,Archie Gray,Leeds United,41250000,permanent
2024-25,Wilson Odobert,Burnley,29300000,permanent
2024-25,Lucas Bergvall,Djurgårdens IF,20000000,permanent
2024-25,Antonín Kinský,Slavia Prague,16500000,permanent
2024-25,Mathys Tel,Bayern Munich,10000000,loan_fee
2024-25,Min-hyeok Yang,Gangwon FC,4000000,permanent
2024-25,Kevin Danso,Lens,0,loan
